2530.87813214 -29034.196073 -26503.3179408
2522.76113436 -29017.9900609 -26495.2289265
2509.05856917 -28990.623704 -26481.5651348
2489.51558075 -28951.2648821 -26461.7493013
2463.79211524 -28898.0845906 -26434.2924754
2431.47376393 -28829.3184157 -26397.8446517
2392.07805258 -28744.5579569 -26352.4799043
2345.08158803 -28642.6726485 -26297.5910605
2289.96552617 -28524.3162197 -26234.3506935
2226.28425349 -28388.4334106 -26162.1491571
2153.76191374 -28235.528451 -26081.7665372
2072.40899056 -28065.5438945 -25993.1349039
1982.65923193 -27879.0295437 -25896.3703117
1885.49663879 -27678.4825641 -25792.9859253
1782.53678373 -27467.2665345 -25684.7297507
1676.02718041 -27248.8482533 -25572.8210729
1568.73081821 -27029.3593368 -25460.6285186
1463.71026922 -26815.3174631 -25351.6071939
1364.06377245 -26612.2706514 -25248.206879
1272.65410793 -26426.2433032 -25153.5891953
1191.87370433 -26261.8418962 -25069.9681919
1123.46918924 -26122.5878425 -24999.1186533
1068.44049846 -26010.1433427 -24941.7028443
1027.0217224 -25925.4065038 -24898.3847814
998.741292934 -25867.0924929 -24868.3511999
982.544778544 -25833.1895949 -24850.6448164
976.95442024 -25820.6470019 -24843.6925816
980.240048466 -25826.1178281 -24845.8777797
990.577071908 -25845.8254618 -24855.2483899
1006.17887455 -25876.1775398 -24869.9986653
1025.393735 -25913.8111265 -24888.4173915
1046.76616406 -25955.7454889 -24908.9793249
1069.06691055 -25999.9983834 -24930.9314729
1091.29992289 -26043.983636 -24952.6837131
1112.69490506 -26086.1336991 -24973.438794
1132.69175259 -26125.5236453 -24992.8318928
1150.91747382 -26161.5324469 -25010.6149731
1167.15795343 -26193.6013986 -25026.4434452
1181.32207942 -26221.420008 -25040.0979285
1193.40146807 -26245.0124464 -25051.6109783
1203.43548322 -26264.6558009 -25061.2203177
1211.48628158 -26280.3706381 -25068.8843566
1217.62736606 -26292.006165 -25074.3787989
1221.94619861 -26300.1662263 -25078.2200277
1224.55814085 -26305.0046659 -25080.446525
1225.6227469 -26306.6068632 -25080.9841163
1225.35623735 -26305.8380107 -25080.4817733
1224.03369081 -26302.8244439 -25078.7907531
1221.97937477 -26298.5586863 -25076.5793115
1219.54648971 -26293.4247525 -25073.8782627
1217.0863978 -26288.2408566 -25071.1544588
1214.91840186 -26283.4481616 -25068.5297597
1213.30509894 -26280.2121626 -25066.9070637
1212.43520079 -26278.4434961 -25066.0082953
1212.42065462 -26278.3790889 -25065.9584343
1213.30337078 -26279.9899232 -25066.6865524
1215.06720763 -26283.5168423 -25068.4496347
1217.65181905 -26288.6807942 -25071.0289752
1220.96798374 -26295.2863972 -25074.3184135
1224.91138452 -26303.088193 -25078.1768085
1229.37225987 -26311.7602689 -25082.388009
1234.24087403 -26321.5605097 -25087.3196357
1239.40664615 -26331.7469022 -25092.340256
1244.7536849 -26342.2148046 -25097.4611197
1250.15630251 -26352.8493288 -25102.6930263
1255.47769346 -26363.6788438 -25108.2011504
